instrument,nse_code,bse_code,name,
MEP-BE,MEP,539126,MEP Infrast.,
GUJTHEM,,506879,,
RUBFILA,,500367,Rubfila Intl.,
SPELS,,517166,Spel Semiconduct,
COCKERILL,,500147,John Cockerill,
DANLAW,,532329,Danlaw Tech.,
FRONTSP,,522195,Frontier Springs,
ALUFLUOR,,524634,Alufluoride,
NIKHILAD,,526159,Nikhil Adhesives,
TGVSL,,507753,,
PROTEAN,,544021,Protean eGov,
ELECTHERM-BE,ELECTHERM,526608,Electrotherm(I),
UMA-SM,UMA,,Uma Converter,
XELPMOC-BE,XELPMOC,542367,Xelpmoc Design,
SAPPL,,538795,,
JYOTIRES,,514448,,
KSE,,519421,KSE,
INDSILHYD,,522165,Indsil Hydro,
JASCH,,500220,Jasch Industries Ltd,
SILVERBEES,,,,
GENPHARMA,,531592,Genpharmasec,
GPTINFRA-BE,GPTINFRA,533761,GPT Infraproject,
GOLKUNDIA,,523676,Golkunda Diamond,
SKCIL,,530977,Shri Keshav Cements & Infra Ltd,
AFFORDABLE,,541402,Affordable Robo.,
AXTEL,,523850,Axtel Industries,
HIMTEK,,505712,Him Teknoforg.,
FAMILYCARE,,516110,Family Care,
BAPACK,,523186,B & A Packaging India Ltd,
KANCOTEA,,541005,Kanco Tea,
GALLANTT-BE,GALLANTT,532726,Gallantt Ispat L,
KANCHI,,538896,Kanchi Karpooram,
TITANSEC,,530045,Titan Securities,
GKWLIMITED-BE,,,,
CHANDRAP,,530309,Chandra Prabhu International Ltd,
VERITAS,,512229,Veritas (India),
STOVACQ,,504959,Stovec Industries Ltd,
RPPL-BE,,,,
GODAVARI,,530317,Godavari Drugs,
MKEXIM,,538890,M K Exim (India) Ltd,
KFBL,,507474,,
DHPIND,,531306,DHP India,
LATENTVIEW-BE,,,,
WATERBASE,,523660,Waterbase,
WPIL,,505872,WPIL,
HALDYNGL,,515147,Haldyn Glass,
SAMKRG,,520075,Samkrg Pistons,
REXNORD,,531888,Rexnord Electr.,
BGRENERGY-BE,,,,
HIGHENE,,504176,High Energy Batteries (India) Ltd,
IBULPP,,890192,,
NILE,,530129,NILE,
TERASOFT-BE,,,,
ULTRAMAR,,506685,Ultramarine Pig.,
WHITEORG,,513713,White Organic,
MOSCHIP,,532407,Moschip Tech.,
MON100,,533385,,
JGTL,,544112,,
FREDUN,,539730,Fredun Pharma,
MANORAMA-BE,,,,
EFORCE-SM,,,,
GLOBAL-BE,,,,
DIANATEA,,530959,Diana Tea Co,
PATELSAI,,517417,Patels Airtemp,
RDBRL,,533608,RDB Rasayans Ltd,
CHEMCRUX,,540395,Chemcrux Enterp.,
3BBLACKBIO,,532067,3B Blackbio,
SYSTANGO-SM,,,,
PRAVEG,,531637,Praveg,
BETA-SM,,,,
KMCSHIL,,524520,KMC Speciality Hospitals (India) Ltd,
TINNARUBR,,530475,Tinna Rubber,
VMARCIND-SM,,,,
RACLGEAR,,520073,RACL Geartech,
DRAGARWQ,,526783,Dr Agarwal's Eye Hospital Ltd,
WARDINMOBI,,538970,Wardwizard Inno.,*
ESSENTIA-BE,,,,
SKP-SM,,,,
BEEKAY,,539018,Beekay Steel Industries Ltd,
MODULEX,,504273,Modulex Const.,
MANAKCOAT-BE,,,,
TITANBIO,,524717,Titan Biotech,
AURUMPP1-E1,,890168,Aurum PropTech Ltd Partly Paidup,
RESONANCE,,524218,Resonance Speci.,
GEE,,504028,GEE,
TANAA,,522229,Taneja Aerospace & Aviation Ltd,
ABMKNO,,531161,ABM Knowledge,
WAAREERTL,,534618,Waaree Renewab.,
AJANTSOY,,519216,Ajanta Soya,
ALLETEC-SM,,,,
ANUHPHR,,506260,Anuh Pharma,
APMIN,,523537,APM Industries,
ARCHITORG,,524640,Archit Organosys,
ASRL,,541865,Add-Shop E-Retail Ltd,
AVANTEL,,532406,Avantel,
BCPL,,542057,BCPL Railway,
CALCOM,,517236,Calcom Vision,
COCHINM,,513353,Cochin Minerals,
DEEPAKSP,,514030,Deepak Spinners,
ECORECO,,530643,Eco Recycling Ltd,
EKI,,543284,EKI Energy,
FERMENTA,,506414,Fermenta Biotec.,
HITECHGEAR-BE,,,,
HUBTOWN-BE,,,,
INDAG,,509162,Indag Rubber,
INDIANACRY,,514165,Indian Acrylics,
IRIS-BE,,,,
ISTLTD,,508807,IST,
ITBEES,,,,
JHS-BE,,,,
KLBRENG-B,,522101,,
KLRFM,,507598,,
LEHAR,,532829,Lehar Footwears,
MITTAL-BE,,,,
NATHIND,,502587,Nath Industries,
ORIENTALTL-BE,,,,
PANAENERG,,504093,Panasonic Energy,
PANCHSHEEL,,531726,Panchsheel Organics Ltd,
PBMPOLY,,514087,PBM Polytex,
POLYSPIN,,539354,Polyspin Exports,
RAJPALAYAM,,532503,Rajapalayam Mills Ltd,
REFEXRENEW,,531260,Refex Renewables,
RIR,,517035,RIR Power Electr,
SAYAJIHOTL,,523710,Sayaji Hotels Ltd,
SGRL,,540737,Shree Ganesh Remedies Ltd,
SHBAJRG,,526981,Shri Bajrang Alliance Ltd,
SHETR,,526137,Shetron,
SHILINDORE,,544080,Sayaji Hotels (Indore) Ltd,
SHPLPUNE,,544090,Sayaji Hotels (Pune) Ltd,
SHUKRAPHAR,,524632,Shukra Pharma.,
SIKA,,523606,Sika Interplant,
STLSTRINF,,513173,Steel Strips Infrastructures Ltd,
SURYAAMBA,,533101,Suryaamba Spinni,
THAKDEV,,526654,Thakkers Develp.,
TREJHARA-BE,,,,
TYCHE,,532384,Tyche Industries,
VALIANT,,526775,Valiant Commun.,
VEDAVAAG,,533056,Vedavaag Systems,
VRL,,538634,Vasundhara Rasayans Ltd,
