Instrument,Qty.,Avg. cost,LTP,Cur. val,P&L,Net chg.,Day chg.
AARTISURF,70,617.37,719,50330,7114.45,16.46,3.3
ABCAPITAL,100,126.38,180.35,18035,5397.5,42.71,8.09
ABFRL,300,205.27,248.45,74535,12952.95,21.03,2.71
ABMKNO,200,112.85,125.95,25190,2620,11.61,1.08
ACCELYA,30,954.6,1798.5,53955,25317,88.4,-1.5
ACE,200,183.3,950.2,190040,153379.65,418.38,-1.97
ACI,60,649.25,620.1,37206,-1749,-4.49,-1.2
ADORWELD,20,1212.22,1525.5,30510,6265.55,25.84,-7.66
ADROITINFO-BE,1800,20.36,18.1,32580,-4070,-11.11,0
ADVENZYMES,123,226.42,387.3,47637.9,19788.05,71.05,2.65
AEROFLEX,300,164.65,154.55,46365,-3030,-6.13,-2.31
AFFLE,10,1019.9,1230.6,12306,2107.05,20.66,1.35
AFFORDABLE,1600,55.7,532,851200,762080,855.12,4.13
AGI,100,225.64,789.9,78990,56426.4,250.08,1.12
AHLADA,100,154.9,131,13100,-2390,-15.43,4.22
AIAENG,2,1608,4461.2,8922.4,5706.4,177.44,2.41
AIROLAM,150,77.58,158.15,23722.5,12085,103.85,-6.56
AKSHOPTFBR-BE,500,13.3,12.2,6100,-550,-8.27,0.41
ALKYLAMINE,5,2899.9,2308.65,11543.25,-2956.25,-20.39,-2.31
ALLCARGO,600,253.44,79.3,47580,0,0,0.06
ALOKINDS-BE,400,25.95,31.15,12460,2080,20.04,-1.42
AMBER,20,2221.18,4442.9,88858,44434.45,100.02,-2.45
AMBIKCO,18,1632.36,1764,31752,2369.5,8.06,0.78
AMBUJACEM,100,334.03,557.4,55740,22337.5,66.87,-1.35
AMIORG,25,1083,1140.8,28520,1445,5.34,0.09
ANDHRSUGAR,100,107.34,113,11300,565.6,5.27,1.71
ANGELONE,80,1317.83,3338.35,267068,161641.25,153.32,-0.61
ANUP,10,923.15,3015,30150,20918.5,226.6,2.39
APARINDS,20,648.05,6322.75,126455,113494,875.66,0.35
APCL,75,144.9,227.95,17096.25,6228.85,57.32,1.49
APEX,41,201,274.5,11254.5,3013.5,36.57,1.07
APOLLO,2000,11.49,124.1,248200,225230,980.54,0.12
ARROWGREEN,100,333.44,466,46600,13256.2,39.76,-0.97
ARTSONEN,140,157.03,148.25,20755,-1228.75,-5.59,-5
ARVIND,50,117.5,313.75,15687.5,9812.5,167.02,2.18
ARVINDFASN,250,299.21,515.95,128987.5,54184.6,72.44,-0.4
ASAHISONG,50,297.64,308.5,15425,542.8,3.65,-2.94
ASALCBR,150,428.51,475.1,71265,6988.2,10.87,-1.07
ASHAPURMIN-BE,200,129.65,420.75,84150,58220,224.53,0.66
ASIANTILES,500,55.25,68.8,34400,6775,24.52,2
ARIHANTSUP,125,213.46,389.5,48687.5,22004.85,82.47,2.96
ASRL,170,67.62,29.94,5089.8,-6406,-55.72,-0.7
ASTERDM,1,135.15,430.4,430.4,295.25,218.46,-0.36
ATL,1000,52.2,66.69,66690,14490,27.76,-4.62
AURUM,800,98.31,160,128000,49350.05,62.75,-0.56
AURUMPP,825,20,90.15,74373.75,57873.75,350.75,-4.83
AVALON,100,486.44,509.75,50975,2331.3,4.79,-2.93
AVANTIFEED,25,412.6,551.7,13792.5,3477.5,33.71,1.56
AWHCL,50,269.8,527.45,26372.5,12882.5,95.5,-4.28
AXISCADES,75,104.94,784.75,58856.25,50985.55,647.79,-1.24
AXTEL,100,227.17,676.95,67695,44978,197.99,-0.22
BAJAJELEC,10,708.68,1057.7,10577,3490.18,49.25,0.7
BAJAJHCARE,100,340,323.4,32340,-1660,-4.88,-0.63
BAJAJHIND,1500,12.19,31.2,46800,28515,155.95,3.93
BAJEL,310,125.84,205.7,63767,24758.02,63.47,10
BALAMINES,10,2838.42,2326.65,23266.5,-5117.7,-18.03,-2.57
BALPHARMA,75,67.25,124.65,9348.75,4305,85.35,-4.12
BALRAMCHIN,25,156.4,392.3,9807.5,5897.5,150.83,0.89
BANKBARODA,150,93.4,255.3,38295,24285,173.34,-0.25
BANSWRAS,100,95.75,152.5,15250,5675,59.27,-2.21
BAPACK,100,193.9,240.95,24095,4705,24.27,-1.69
BARBEQUE,5,1088.55,622.5,3112.5,-2330.25,-42.81,-0.09
BASML,349,35.14,55.69,19435.81,7171.41,58.47,-0.29
BBTC,15,892,1706.75,25601.25,12221.3,91.34,-0.49
BCG,900,25.41,19.86,17874,-4991,-21.83,-0.55
BCLIND,500,49.14,73.32,36660,12092.5,49.22,-1.08
BEEKAY,50,371.78,624,31200,12611,67.84,1.96
BEPL,1000,17.97,105.65,105650,87677.6,487.85,0.67
BESTAGRO,30,1208.26,744.8,22344,-13903.8,-38.36,-2.7
BETA-SM,200,822.75,1418.3,283660,119110,72.39,-1.16
BGRENERGY,100,70.97,93.35,9335,2238.35,31.54,0.43
BHARATFORG,70,816.54,1237.55,86628.5,29471,51.56,0.68
BIGBLOC,200,131.95,179.75,35950,9560,36.23,1.73
BIRLACABLE,250,151.57,293.35,73337.5,35445,93.54,4.9
BIRLACORPN,35,966.1,1534.6,53711,19897.55,58.85,-5.39
BIRLAMONEY,100,69.5,124.3,12430,5480,78.85,3.15
BODALCHEM,350,55.25,86.4,30240,10902.5,56.38,-1.57
BRIGHT-SM,3000,7.9,10.35,31050,7350,31.01,4.55
BSE,41,100.36,2465,101065,96950.05,2356.04,-1.14
CAMS,10,2757.25,2885.25,28852.5,1280.05,4.64,0.18
CANBK,130,308.9,514.4,66872,26715.5,66.53,2.59
CANFINHOME,130,737.91,828.85,107750.5,11822.4,12.32,4.26
CAPACITE,100,140.73,260.8,26080,12006.95,85.32,-0.53
CAPLIPOINT,60,558,1401.05,84063,50583.1,151.08,0.05
CARBORUNIV,20,774.01,1117.5,22350,6869.75,44.38,-0.23
CARYSIL,100,177.93,928,92800,75007.5,421.57,5.29
CCL,30,521.87,645.2,19356,3699.8,23.63,-3.7
CEREBRAINT,3000,6.18,11.29,33870,15330,82.69,4.93
CESC,500,78.6,137.7,68850,29550,75.19,-1.71
CHAMBLFERT,150,259.01,359.55,53932.5,15080.8,38.82,-0.91
CHANDRAP,375,47.19,35.7,13387.5,-4309.7,-24.35,0.25
CHEMCRUX,275,133.9,279.9,76972.5,40150,109.04,-0.23
CHOLAFIN,10,703.95,1160.95,11609.5,4570,64.92,1.24
CMICABLES-BZ,200,9.8,7.45,1490,-470,-23.98,2.76
CMSINFO,25,263,385.9,9647.5,3072.5,46.73,1.83
COCHINSHIP,200,180.7,905.2,181040,144899.95,400.94,-0.7
CONTROLPR,20,368.89,996.6,19932,12554.3,170.17,-0.33
COROMANDEL,65,885.01,1076.85,69995.25,12469.35,21.68,0.59
COSMOFIRST,175,659.37,606.05,106058.75,-9330.85,-8.09,-1.4
CUB,500,123.85,137.25,68625,6700,10.82,-4.59
CYBERTECH,200,86.45,183.45,36690,19400,112.2,-1.58
CYIENT,30,902.76,2109.75,63292.5,36209.65,133.7,8.8
CYIENTDLM,115,654.28,677.25,77883.75,2641.3,3.51,-0.69
DATAPATTNS,25,991.44,1914.95,47873.75,23087.7,93.15,-1.42
DCAL,160,152.48,194.4,31104,6708,27.5,-2.73
DCMNVL,25,227.3,199,4975,-707.5,-12.45,2.42
DCMSHRIRAM,10,320.15,1015.9,10159,6957.5,217.32,-1.23
DCMSRIND,200,80.73,193.6,38720,22573.05,139.8,4.28
DCXINDIA,150,364.37,339,50850,-3805.85,-6.96,-1.05
DEEPAKNTR,10,1824,2250.15,22501.5,4261.5,23.36,-0.02
DELTACORP,300,181.23,137.6,41280,-13090,-24.08,0.15
DEN,1400,26.35,57.95,81130,44240,119.92,-2.85
DENORA,10,400,1514.2,15142,11142,278.55,-0.74
DHANUKA,95,686.34,1131.5,107492.5,42290.25,64.86,-6.29
DHPIND,15,594.5,802.9,12043.5,3126,35.05,-0.1
DIANATEA,300,31.15,32.4,9720,375,4.01,-1.52
DIGIDRIVE-BE,24,135.93,64.7,1552.8,-1709.53,-52.4,2.86
DIGISPICE,600,19.88,37.44,22464,10536,88.33,-5
DLINKINDIA,200,125.69,322.4,64480,39341.9,156.5,-1.16
DODLA,25,456.98,992.75,24818.75,13394.3,117.24,-0.07
DOLATALGO,350,40.6,82.8,28980,14770,103.94,-4.06
DOLLAR,100,302.64,459.2,45920,15656.35,51.73,-0.23
DPWIRES,57,167.67,520.45,29665.65,20108.35,210.4,-0.54
DRAGARWQ,45,1440.12,2937.9,132205.5,67400.25,104,2.86
DVL,50,263.49,502.65,25132.5,11958.1,90.77,-1.67
DWARKESH,135,89.14,84.5,11407.5,-626,-5.2,0
DYCL,200,79.85,467.25,93450,77480,485.16,-0.07
DYNAMATECH,5,2181.9,6271.9,31359.5,20450,187.45,-1.68
DYNPRO,165,302.14,280.4,46266,-3587.25,-7.2,-2.35
EASEMYTRIP,200,43.05,49.35,9870,1260,14.63,5.07
EIDPARRY,165,486.17,641.6,105864,25645.5,31.97,-2.45
EIMCOELECO,1,351.7,1499.8,1499.8,1148.1,326.44,1.27
EKC,200,83.54,138,27600,10892.3,65.19,-0.5
ELECTCAST,590,38.85,183.3,108147,85227,371.85,4.53
ELIN,400,148.68,162.65,65060,5586.15,9.39,-1.03
EMAMIPAP,140,165.4,128.2,17948,-5207.95,-22.49,-1
EMKAY-BE,250,105.38,165.3,41325,14980.75,56.87,2.45
EMMBI,400,110.28,126.9,50760,6649.55,15.07,-2.35
EMUDHRA,100,243.79,461.7,46170,21790.55,89.38,0.5
ENDURANCE,15,1181.1,2129.05,31935.75,14219.25,80.26,-1.01
EPIGRAL,35,1140.19,1021.8,35763,-4143.7,-10.38,-2.04
EPL,350,165.31,194.6,68110,10251.6,17.72,-1.49
EQUITASBNK,924,39.54,104.55,96604.2,60069.4,164.42,1.01
ESSENTIA-BE,6000,3.05,6.35,38100,19800,108.2,-1.55
ESTER,270,83.5,96.1,25947,3402,15.09,0.57
ETHOSLTD,60,1548.26,2516,150960,58064.7,62.51,0.14
EVERESTIND,1,710.05,1249,1249,538.95,75.9,-3.01
EXCEL-BE,7500,0.59,0.55,4125,-275,-6.25,10
FAZE3Q,75,296.27,451.9,33892.5,11672.5,52.53,1.47
FIBERWEB,250,47.56,41.7,10425,-1465,-12.32,2.96
FIEMIND,15,981.44,2367.7,35515.5,20793.95,141.25,-0.19
FINCABLES,50,459.62,1064.7,53235,30254,131.65,-2.51
FINOPB,160,195.41,310.25,49640,18374.05,58.77,-3.69
FINPIPE,100,167.8,217.7,21770,4990,29.74,-1.23
COCKERILL,10,1700,3447,34470,17470,102.76,0.66
FLUOROCHEM,20,2928.47,3552.55,71051,12481.7,21.31,-2.69
FREDUN,50,868,819,40950,-2450,-5.65,0.38
FSL,200,133,199.75,39950,13350,50.19,-1.04
GAEL,100,234.5,397.85,39785,16335,69.66,-0.11
GALLANTT,480,67.25,227.6,109248,76968,238.44,7.84
GANDHITUBE,15,387,798.5,11977.5,6172.5,106.33,-0.86
GATEWAY,800,63.85,111.65,89320,38241.95,74.87,-1.02
ACLGATI,30,165.1,123.95,3718.5,-1234.5,-24.92,-1.27
GEE,401,65.83,160.15,64220.15,37821.75,143.27,0.6
GEEKAYWIRE-BE,1000,32.55,121.55,121550,88996.35,273.38,1.59
GENPHARMA,1000,2.86,5.09,5090,2230,77.97,-1.93
GENSOL,80,737.02,953.75,76300,17338.35,29.41,4.87
GENUSPOWER,100,86.69,291.75,29175,20506.4,236.56,4.98
GEOJITFSL,268,59.5,81,21708,5762,36.13,-1.27
GINNIFILA,200,44.7,40.75,8150,-790,-8.84,-2.86
GKWLIMITED,130,525.01,1856.9,241397,173145.5,253.69,5
GMMPFAUDLR,50,1470.03,1512.3,75615,2113.5,2.88,-2.78
GMRINFRA,600,36.32,85.2,51120,29330,134.6,7.71
GNA,100,285.9,480.55,48055,19464.95,68.08,-0.84
GODAVARI,150,64.9,100.9,15135,5400,55.47,0.52
GODREJAGRO,70,469.32,541.75,37922.5,5070.3,15.43,-4.23
GODREJIND,25,414.97,873.8,21845,11470.65,110.57,-1
GOLKUNDIA,100,94.52,188,18800,9348.5,98.91,2.65
GOODLUCK,25,917.76,1054.4,26360,3415.9,14.89,-1.31
GPIL,100,268.05,753.05,75305,48500.3,180.94,1.33
GPTINFRA-BE,150,38.13,189.15,28372.5,22653.75,396.13,-1.99
GRAPHITE,30,261.05,552.55,16576.5,8745,111.66,-1.66
GRAUWEIL,1,58.7,157.95,157.95,99.25,169.08,0.96
GRAVITA,50,83.9,889.1,44455,40260,959.71,0.32
GREAVESCOT,100,151.11,166.6,16660,1549.05,10.25,0.85
GREENPANEL,50,269.8,391.1,19555,6065,44.96,0.89
GRWRHITECH,64,682.58,1606,102784,59098.95,135.28,-2.44
GSPL,245,274.4,350.7,85921.5,18692.8,27.8,-2.7
GSTL,600,27.22,25.32,15192,-1138,-6.97,0.44
GTLINFRA,1000,1.95,2.04,2040,90,4.62,4.62
GUFICBIO,100,186.08,344.9,34490,15882.5,85.36,0.72
GUJGASLTD,1,489.85,590.85,590.85,101,20.62,1.9
GULFOILLUB,20,430,885.55,17711,9111,105.94,9.83
GULPOLY,120,160.43,215.8,25896,6645,34.52,3.82
HAL,40,589.82,2971.15,118846,95253.1,403.74,-0.81
HALDYNGL,300,128.71,140.9,42270,3656.5,9.47,1.48
HAPPSTMNDS,50,987.96,874.15,43707.5,-5690.25,-11.52,1.23
HBLPOWER,200,123.08,531.4,106280,81665,331.77,0.62
HCC,500,17.05,45.96,22980,14455,169.56,0.15
HEIDELBERG,1,163.05,222.85,222.85,59.8,36.68,-2.88
HERITGFOOD,150,147.47,315.5,47325,25205,113.95,-0.85
HFCL,150,72.55,96.8,14520,3637.6,33.43,-6.43
HGS,50,1036.13,958.85,47942.5,-3863.75,-7.46,-1.97
HIGHENE,75,273.13,605.05,45378.75,24893.75,121.52,0.03
HIL,15,3112.35,2779.65,41694.75,-4990.5,-10.69,-4.46
HINDALCO,50,437.8,584,29200,7310,33.39,2.25
HINDCOMPOS,25,305.05,437.8,10945,3318.75,43.52,-0.5
HINDOILEXP,100,199.54,183.15,18315,-1638.75,-8.21,-0.27
HINDWAREAP,100,331.53,470,47000,13847.35,41.77,0.62
HITECH,100,50.87,143.55,14355,9268,182.19,-0.03
HOMEFIRST,25,663.69,980,24500,7907.75,47.66,-1
HPL,75,75.15,314.7,23602.5,17966.25,318.76,4.83
HTMEDIA,400,25.45,34.85,13940,3760,36.94,8.87
HUHTAMAKI,1,206.7,330,330,123.3,59.65,3.43
IBREALEST,200,91.88,100.7,20140,1765,9.61,1.51
IBULHSGFIN,1200,156.97,189.55,227460,39094.65,20.75,-2.24
ICEMAKE,51,64.1,569.4,29039.4,25770.3,788.3,-0.67
ICIL,200,156.88,272.9,54580,23203.2,73.95,1.47
IDEAFORGE,75,828.86,707.8,53085,-9079.7,-14.61,-0.44
IDFCFIRSTB,1532,40.19,82.59,126527.88,64951.88,105.48,-0.91
IEX,625,108.44,146.1,91312.5,23537.45,34.73,-0.07
IFBAGRO,10,572.28,515.85,5158.5,-564.25,-9.86,-1.16
IFBIND,109,863.21,1267.2,138124.8,44034.95,46.8,-1.56
IFCI,800,15.01,60.37,48296,36286,302.13,-2.72
IIFLSEC,1,48.8,160.4,160.4,111.6,228.69,-4.12
IKIO,125,355.23,330.8,41350,-3054.25,-6.88,-0.66
INDIANHUME,853,150.36,247.1,210776.3,82515.2,64.33,0.55
INDNIPPON,10,352.1,711,7110,3589,101.93,2.46
INDOSTAR-BE,201,170,187.45,37677.45,3507.7,10.27,-2.34
INDRAMEDCO,300,83.95,185.05,55515,30331,120.44,-0.46
INDSILHYD,350,29.75,63.5,22225,11812.5,113.45,2.4
INDSWFTLAB,300,91.26,107.55,32265,4886.2,17.85,1.27
INFIBEAM,1104,15.48,38.5,42504,25416.64,148.75,1.85
INSECTICID,30,314.06,606.75,18202.5,8780.85,93.2,-2.76
INTELLECT,100,430.49,895.7,89570,46521.05,108.07,1.86
INTENTECH,200,92.23,152.8,30560,12113.7,65.67,7.12
INVENTURE,4000,1.54,3.03,12120,5960,96.75,0.33
IRB,1000,11.27,66.78,66780,55510,492.55,2.49
IRCON,602,35.59,232.6,140025.2,118600.2,553.56,1.75
ISGEC,50,490.74,1038.45,51922.5,27385.45,111.61,0.21
IVC,800,7.84,12.74,10192,3922,62.55,2.74
J&KBANK,300,32.8,138.8,41640,31800,323.17,-0.29
JAGRAN,400,38.62,98.4,39360,23912.5,154.8,-0.91
JAICORPLTD,75,108.65,364.15,27311.25,19162.75,235.17,-0.78
JAMNAAUTO,100,105.85,118.5,11850,1265.4,11.96,1.63
JASH,10,507.63,1805.85,18058.5,12982.25,255.74,1.23
JBMA,70,421.56,1956,136920,107410.55,363.99,-0.37
JCHAC,20,1040,1217,24340,3540,17.02,2.97
JINDALPOLY,32,714.56,623.8,19961.6,-2904.35,-12.7,0.24
JIOFIN,1010,95.12,253.8,256338,160263.44,166.81,0.55
JKLAKSHMI,30,787.3,919.5,27585,3966,16.79,-1.11
JKPAPER,100,223.71,417.3,41730,19358.95,86.54,-2.94
JKTYRE,30,87.4,524.55,15736.5,13114.5,500.17,0.44
JMFINANCIL,420,85.75,111.7,46914,10900.8,30.27,0.77
JSL,100,184.98,596.55,59655,41157.5,222.5,5.66
JTEKTINDIA,100,120.38,159.5,15950,3912.2,32.5,0
JUBLINDS,140,368.58,615.75,86205,34604.3,67.06,0.98
JUBLINGREA,50,500,426.75,21337.5,-3662.5,-14.65,-1.17
JUBLPHARMA,8,412.15,593.7,4749.6,1452.4,44.05,3.13
KABRAEXTRU,76,395.63,404.7,30757.2,689.65,2.29,-1.96
KAKATCEM,25,297.92,249.55,6238.75,-1209.25,-16.24,-2.04
KALYANKJIL,100,103.75,348.2,34820,24445,235.61,4.39
KANCOTEA,100,76.3,80.88,8088,458,6,1.7
KAPSTON-BE,100,86.7,259.5,25950,17280,199.31,0.1
